tiempo,EMG,Integrated EMG,,,,
22.92624298,-3.68088,3.68012,,,,
22.92724295,-3.68248,3.68015,,,,
22.92824292,-3.68184,3.68015,,,,
22.92924288,-3.67964,3.68012,,,,
22.93024285,-3.67953,3.68011,,,,
22.93124282,-3.68162,3.68015,,,,
22.93224279,-3.68222,3.6802,,,,
22.93324275,-3.68113,3.68023,,,,
22.93424272,-3.68095,3.68023,,,,
22.93524269,-3.68018,3.68022,,,,
22.93624265,-3.67741,3.68018,,,,
22.93724262,-3.67728,3.68015,,,,
22.93824259,-3.68125,3.68016,,,,
22.93924255,-3.6837,3.6802,,,,
22.94024252,-3.68237,3.68021,,,,
22.94124249,-3.68052,3.68019,,,,
22.94224246,-3.67931,3.68017,,,,
22.94324242,-3.6776,3.68016,,,,
22.94424239,-3.67728,3.68016,,,,
22.94524236,-3.67877,3.68018,,,,
22.94624232,-3.67891,3.68018,,,,
22.94724229,-3.67803,3.68016,,,,
22.94824226,-3.6775,3.68012,,,,
22.94924222,-3.67795,3.68009,,,,
22.95024219,-3.68019,3.68009,,,,
22.95124216,-3.68263,3.68015,,,,
22.95224213,-3.68432,3.68022,,,,
22.95324209,-3.6841,3.68027,,,,
22.95424206,-3.68192,3.68028,,,,
22.95524203,-3.68045,3.68027,,,,
22.95624199,-3.67914,3.68027,,,,
22.95724196,-3.6781,3.68025,,,,
22.95824193,-3.67947,3.68025,,,,
22.95924189,-3.68201,3.68028,,,,
22.96024186,-3.68426,3.68032,,,,
22.96124183,-3.68433,3.68034,,,,
22.96224179,-3.67975,3.6803,,,,
22.96324176,-3.67403,3.68025,,,,
22.96424173,-3.67393,3.68024,,,,
22.9652417,-3.67935,3.68027,,,,
22.96624166,-3.68312,3.6803,,,,
22.96724163,-3.68195,3.68029,,,,
22.9682416,-3.67924,3.68024,,,,
22.96924156,-3.67726,3.68022,,,,
22.97024153,-3.6765,3.6802,,,,
22.9712415,-3.67815,3.68019,,,,
22.97224146,-3.68109,3.6802,,,,
22.97324143,-3.682,3.68019,,,,
22.9742414,-3.68057,3.68016,,,,
22.97524137,-3.67932,3.68013,,,,
22.97624133,-3.67906,3.68013,,,,
22.9772413,-3.68018,3.68013,,,,
22.97824127,-3.6829,3.68015,,,,
22.97924123,-3.68355,3.68016,,,,
22.9802412,-3.68013,3.68014,,,,
22.98124117,-3.67717,3.68009,,,,
22.98224113,-3.67679,3.68004,,,,
22.9832411,-3.67738,3.68002,,,,
22.98424107,-3.67984,3.68002,,,,
22.98524104,-3.68291,3.68005,,,,
22.986241,-3.68288,3.68007,,,,
22.98724097,-3.68083,3.68005,,,,
22.98824094,-3.67936,3.68003,,,,
22.9892409,-3.67825,3.68002,,,,
22.99024087,-3.67825,3.68002,,,,
22.99124084,-3.68011,3.68003,,,,
22.9922408,-3.68144,3.68005,,,,
22.99324077,-3.68008,3.68006,,,,
22.99424074,-3.67697,3.68002,,,,
22.99524071,-3.67561,3.67996,,,,
22.99624067,-3.67769,3.67993,,,,
22.99724064,-3.68059,3.67994,,,,
22.99824061,-3.68249,3.67995,,,,
22.99924057,-3.68295,3.67998,,,,
23.00024054,-3.68178,3.68,,,,
23.00124051,-3.67917,3.67998,,,,
23.00224047,-3.67496,3.67992,,,,
23.00324044,-3.67306,3.67988,,,,
23.00424041,-3.67546,3.67986,,,,
23.00524038,-3.67699,3.67983,,,,
23.00624034,-3.67721,3.67979,,,,
23.00724031,-3.67831,3.67976,,,,
23.00824028,-3.67946,3.67974,,,,
23.00924024,-3.68073,3.67976,,,,
23.01024021,-3.68163,3.67979,,,,
23.01124018,-3.68171,3.67982,,,,
23.01224014,-3.68108,3.67984,,,,
23.01324011,-3.67979,3.67982,,,,
23.01424008,-3.67863,3.67978,,,,
23.01524004,-3.67883,3.67975,,,,
23.01624001,-3.68143,3.67978,,,,
23.01723998,-3.68458,3.67985,,,,
23.01823995,-3.68555,3.67991,,,,
23.01923991,-3.68347,3.67992,,,,
23.02023988,-3.67996,3.67989,,,,
23.02123985,-3.6794,3.67986,,,,
23.02223981,-3.68254,3.6799,,,,
23.02323978,-3.68514,3.67999,,,,
23.02423975,-3.68531,3.68008,,,,
23.02523971,-3.68375,3.68013,,,,
23.02623968,-3.68102,3.68013,,,,
23.02723965,-3.67903,3.6801,,,,
23.02823962,-3.67914,3.68007,,,,
23.02923958,-3.67917,3.68006,,,,
23.03023955,-3.67803,3.68005,,,,
23.03123952,-3.67799,3.68001,,,,
23.03223948,-3.67834,3.67997,,,,
23.03323945,-3.67662,3.67993,,,,
23.03423942,-3.67558,3.67987,,,,
23.03523938,-3.67636,3.67984,,,,
23.03623935,-3.67428,3.67981,,,,
23.03723932,-3.67145,3.67975,,,,
23.03823929,-3.67556,3.67969,,,,
23.03923925,-3.68277,3.67968,,,,
23.04023922,-3.68389,3.6797,,,,
23.04123919,-3.68188,3.67971,,,,
23.04223915,-3.68165,3.67973,,,,
23.04323912,-3.68162,3.67977,,,,
23.04423909,-3.68142,3.67981,,,,
23.04523905,-3.67787,3.67981,,,,
23.04623902,-3.67176,3.67973,,,,
23.04723899,-3.67406,3.67969,,,,
23.04823896,-3.68485,3.67977,,,,
23.04923892,-3.69269,3.67992,,,,
23.05023889,-3.69278,3.68004,,,,
23.05123886,-3.6882,3.6801,,,,
23.05223882,-3.6841,3.68009,,,,
23.05323879,-3.67901,3.68004,,,,
23.05423876,-3.66903,3.67991,,,,
23.05523872,-3.66355,3.67975,,,,
23.05623869,-3.66895,3.67964,,,,
23.05723866,-3.67531,3.67962,,,,
23.05823863,-3.67926,3.67961,,,,
23.05923859,-3.67928,3.67959,,,,
23.06023856,-3.66969,3.67944,,,,
23.06123853,-3.66393,3.67924,,,,
23.06223849,-3.67222,3.67916,,,,
23.06323846,-3.68034,3.67922,,,,
23.06423843,-3.68076,3.67929,,,,
23.06523839,-3.67615,3.67926,,,,
23.06623836,-3.66742,3.6791,,,,
23.06723833,-3.66488,3.67893,,,,
23.06823829,-3.67665,3.67891,,,,
23.06923826,-3.69415,3.67908,,,,
23.07023823,-3.70034,3.67931,,,,
23.0712382,-3.68536,3.67939,,,,
23.07223816,-3.66397,3.67922,,,,
23.07323813,-3.65824,3.67898,,,,
23.0742381,-3.66818,3.67885,,,,
23.07523806,-3.67835,3.67884,,,,
23.07623803,-3.68137,3.67887,,,,
23.077238,-3.68522,3.67892,,,,
23.07823796,-3.68891,3.67898,,,,
23.07923793,-3.67955,3.67894,,,,
23.0802379,-3.66295,3.67877,,,,
23.08123787,-3.65441,3.67854,,,,
23.08223783,-3.65518,3.67832,,,,
23.0832378,-3.65996,3.67815,,,,
23.08423777,-3.66457,3.678,,,,
23.08523773,-3.66572,3.67782,,,,
23.0862377,-3.65948,3.67759,,,,
23.08723767,-3.65132,3.67729,,,,
23.08823763,-3.65316,3.67703,,,,
23.0892376,-3.65905,3.67684,,,,
23.09023757,-3.66265,3.67668,,,,
23.09123754,-3.67059,3.67659,,,,
23.0922375,-3.67574,3.67653,,,,
23.09323747,-3.67052,3.67644,,,,
23.09423744,-3.67166,3.67638,,,,
23.0952374,-3.67767,3.6764,,,,
23.09623737,-3.65895,3.67622,,,,
23.09723734,-3.62925,3.6757,,,,
23.0982373,-3.62019,3.67508,,,,
23.09923727,-3.62097,3.67446,,,,
23.10023724,-3.62906,3.67393,,,,
23.10123721,-3.64944,3.67364,,,,
23.10223717,-3.66833,3.67357,,,,
23.10323714,-3.68687,3.67371,,,,
23.10423711,-3.70597,3.67401,,,,
23.10523707,-3.70591,3.6743,,,,
23.10623704,-3.67818,3.67431,,,,
23.10723701,-3.65605,3.67409,,,,
23.10823697,-3.66348,3.67393,,,,
23.10923694,-3.66597,3.67378,,,,
23.11023691,-3.64831,3.67345,,,,
23.11123688,-3.63966,3.67303,,,,
23.11223684,-3.65436,3.67276,,,,
23.11323681,-3.67655,3.67273,,,,
23.11423678,-3.66875,3.67263,,,,
23.11523674,-3.63503,3.67219,,,,
23.11623671,-3.62453,3.67162,,,,
23.11723668,-3.63015,3.67108,,,,
23.11823664,-3.61581,3.67038,,,,
23.11923661,-3.60647,3.66961,,,,
23.12023658,-3.62732,3.66909,,,,
23.12123654,-3.64027,3.66869,,,,
23.12223651,-3.61554,3.66802,,,,
23.12323648,-3.58307,3.667,,,,
23.12423645,-3.59133,3.66606,,,,
23.12523641,-3.6357,3.66558,,,,
23.12623638,-3.64621,3.66523,,,,
23.12723635,-3.61113,3.66456,,,,
23.12823631,-3.60879,3.66385,,,,
23.12923628,-3.66689,3.66373,,,,
23.13023625,-3.73249,3.66427,,,,
23.13123621,-3.73223,3.66482,,,,
23.13223618,-3.65015,3.66453,,,,
23.13323615,-3.58144,3.66358,,,,
23.13423612,-3.58476,3.66267,,,,
23.13523608,-3.60607,3.66197,,,,
23.13623605,-3.61801,3.66141,,,,
23.13723602,-3.62734,3.66097,,,,
23.13823598,-3.61797,3.66039,,,,
23.13923595,-3.59637,3.65953,,,,
23.14023592,-3.6094,3.65878,,,,
23.14123588,-3.67425,3.65871,,,,
23.14223585,-3.71559,3.65905,,,,
23.14323582,-3.68237,3.65905,,,,
23.14423579,-3.63951,3.65863,,,,
23.14523575,-3.63404,3.6582,,,,
23.14623572,-3.64246,3.6579,,,,
23.14723569,-3.64999,3.65766,,,,
23.14823565,-3.65103,3.65732,,,,
23.14923562,-3.64129,3.65681,,,,
23.15023559,-3.65501,3.65643,,,,
23.15123555,-3.71492,3.6567,,,,
23.15223552,-3.76394,3.6575,,,,
23.15323549,-3.7495,3.6582,,,,
23.15423546,-3.69188,3.65843,,,,
23.15523542,-3.62562,3.65805,,,,
23.15623539,-3.5841,3.6572,,,,
23.15723536,-3.58836,3.65633,,,,
23.15823532,-3.60762,3.65562,,,,
23.15923529,-3.61671,3.65499,,,,
